item,mlu
fish (food),6.83997204752
all,8.76581000139
dance,6.66175386883
ouch,2.52052238806
sleep,8.34248366013
dish,8.39956331878
chair,7.31712062257
milk,6.87659273242
tv,7.77413000657
tickle,5.6075446724
under,7.91225296443
smile,6.57071547421
garden,9.90760869565
blanket,8.39279112754
kitty,5.61419300816
peekaboo,2.2749428789
work (place),8.21772710555
spoon,6.62665406427
little (description),8.99787285141
fall,7.36951433587
bubbles,5.64847942755
wipe,6.9325044405
play pen,11.0
school,9.07979722118
tricycle,7.90909090909
did,6.95239965439
button,6.99092456041
brother,8.56618705036
bicycle,7.81418312388
tired,6.56174438687
boots,9.90997229917
jump,7.28870431894
go,9.31348501146
pajamas,8.30974632844
blue,6.30069767442
what,5.46282266094
clock,6.83505154639
sun,9.57121986852
swing (object),7.20274914089
bird,7.21297082979
leg,7.37607326846
sink,7.95495495495
sing,6.62341536167
teacher,8.38536155203
wait,7.00629326621
box,7.76287782035
boy,6.20759851949
pillow,7.48267008986
shovel,6.95253164557
love,6.47569922054
apple,6.53609022556
duck,5.61290322581
eye,6.98135198135
sweater,7.89051094891
hungry,8.58969525605
frog,6.48795180723
splash,7.58314350797
teddybear,7.35469107551
clean (description),7.99907550077
today,7.94678634397
more,7.12378367644
door,8.33998890738
watch (action),5.96197841147
hurt,6.60856807512
glass,8.31710808876
train,7.71776232617
baby,6.74547039412
hurry,6.16225961538
me,7.56351078577
none,6.81345565749
this,6.98706564438
car,7.57687391052
ride,8.59864781807
when,11.8674108527
cat,7.66180819603
thank you,3.031272429
potato chip,6.9979253112
my,7.70446762762
pony,7.02404809619
thirsty,4.97876857749
give,8.36161803044
drawer,8.29051383399
airplane,7.35763704098
lamb,6.14531548757
write,8.12997275204
how,7.02432629279
hot,6.16133518776
animal,9.91079262942
elephant,8.34800134363
beach,8.76477832512
pizza,6.96928982726
plant,9.72687861272
baa baa,3.46853146853
daddy*,7.11224626966
backyard,10.1946902655
man,7.53632190116
coat,7.13881748072
truck,7.33674630262
necklace,6.74275362319
egg,8.17740981668
cute,5.00459770115
help,7.43505154639
don't,7.68553459119
paper,8.30776173285
motorcycle,6.32751091703
oven,9.08771929825
cold,6.77054794521
police,8.85894941634
